universidad,Gestion,CPRES,Acreditada,Acreditada_antes,Ultima_acreditacion,Duracion,Actualmente,Res_CONEAU
UNNE,Estatal,Noreste,SI,SI,2019,3,Acred.,076/19
UNICEN,Estatal,Bonaerense,NO,Aprobado el Proyecto de Carrera,-,-,Proyectó,804-1460/12
UNR,Estatal,Centro,SI,SI,2015,6,Acred.,1094/15
UBA,Estatal,Metropoli tano,Vencida,SI,2011,6,Proceso,558/11
UNT,Estatal,Noroeste,SI,SI,2014,6,Acred.,144/14
UNLP,Estatal,Bonaerense,SI,SI,2019,3,Acred.,082/19
UNSJ,Estatal,Nuevo Cuyo,SI,SI,2014,6,Acred.,579/14
UNCa,Estatal,Noroeste,SI,SI,2013,6,Acred.,957/13
UNC,Estatal,Centro,SI,SI,2014,6,Acred.,415/14
UNL,Estatal,Centro,SI,SI,2014,6,Acred.,302/14
UNS,Estatal,Metropol itano,SI,SI,2019,3,Acred.,305/19
UNSE,Estatal,Noroeste,SI,SI,2014,6,Acred.,369/14
UMoron,Privada,Metropolitano,Vencida,SI,2016,3,Proceso,502/16
UMAZA,Privada,Nuevo Cuyo,SI,SI,2019,3,Acred.,298/19
UNDEF,Estatal,Metropoli tana,No,Aprobado el Proyecto de Carrera,-,-,Proyectó,587/14
