Universidad,Ayudantes_A.,Consejeros_E.,investigacion_extension,Expo_difusion,Mes_Expo,Damora_titulo
UNNE,Si,No,Si,Si,10 Sep.,"6 a 12 meses"
UNICEN,Si,Si,Si,Si,"S/F Sep. - Oct.",Sin Info.
UNR,Si,Si,Si,Si,"14 Agos.",5 a 7 meses
UBA,No,Si,Si,Si,Sin Fecha,"18 a 24 meses"
UNT,Si,No,Si,Si,"12, 13 y 14 Jun.","18 a 24 meses"
UNLP,Si,Si,Si,Si,"17 al 20 Sep.",6 meses
UNSJ,Si,Si,Si,Si,29 y 30 Agos.,7 meses
UNCa,Si,Si,Si,Si,10 Sep.,"12 a 18 meses"
UNC,Si,Si,Si,Si,"3 al 6 Sep.",Sin Info.
UNL,Si,Si,Si,Si,"2 al 5 Sep.",12 meses
UNS,No,Si,Si,Si,"3, 4, y 5 Jul.",6 meses
UNSE,Si,Si,Sin Info.,Sin Info.,Sin Info.,Sin Info.
UMoron,No,No,No,No,Sin Info.,6 meses
UMAZA,Si,No,Si,Si,Sin Info.,Sin Info.
UNDEF,No,No,No,Si,Sin Info.,Sin Info.
