fid,Provincia,Localidad,Partido,Direccion,Aclaraciones,Telefono,ENCARGADOS,Fuente
2,Cordoba,Bell Ville,,Córdoba 509,1° Piso,03537-421025,,
3,Cordoba,Cosquín,,San Martín 1332,,03541-459622,,
4,Cordoba,Cruz del Eje,,Alvear 393,,03549-426745,,
5,Cordoba,Deán Funes,,Rivadavia 169,,03521-426212,,
6,Cordoba,Jesús María,,Córdoba 233,,03525-426706,,
7,Cordoba,Laboulaye,,Av. Independencia 194,,03385-453255,,
8,Cordoba,Marcos Juárez,,Francisco Beiro 330,,03472-422836,,
9,Cordoba,Río Cuarto,,Colón 55,,0358-4672906,,
10,Cordoba,Río Tercero,,San Martín 255,1° Piso,03571-439202,,
11,Cordoba,San Francisco,,9 de julio 1683,,03564-443734,,
12,Cordoba,Santa Rosa de Calamuchita,,El Nogal y Av. Costanera,,03546-426689,,
13,Cordoba,Villa Carlos Paz,,Uruguay 703,,03541-438269,,
14,Cordoba,Villa Dolores,,Sarmiento 67,,03544-426411,,
15,Cordoba,Villa María,,J. Ingenieros y Buenos Aires,,0353-4619100,,
16,Cordoba,Canals,,Ingeniero Firpo 151,,03463-423192,,
17,LaRioja,Chepes,,,,,Anibal Lopez,
18,LaRioja,Aimogasta,,San Martin,(CP 5310),,Marcos Patricio Cordoba,
19,LaRioja,Chilecito,,Julian Amatte 235,(CP 5360),(3825) 422842,Ing. Maria Alejandra Diaz,
20,RioNegro,Viedma,,Moreno 173,,02920-425923 y 02920-420667.,,https://www.rionegro.gov.ar/?contID=13413
21,RioNegro,General Roca,,9 de julio 889,,0298-4436731,,https://www.rionegro.gov.ar/?contID=13413
22,RioNegro,San Carlos de Bariloche,,Gallardo 855,1º piso,0294-4424479,,https://www.rionegro.gov.ar/?contID=13413
23,BuenosAires,Alberti,2,Víctor Albizzatti N°85,,,,https://www.arba.gov.ar/Informacion/InfoGeneral/Atencion/LOCALIDADES.asp
24,BuenosAires,A. Korn,268,Boulevard Presidente Perón N°4964,,,,https://www.arba.gov.ar/Informacion/InfoGeneral/Atencion/LOCALIDADES.asp
25,BuenosAires,Adrogue,3,Somellera N° 657,,,,https://www.arba.gov.ar/Informacion/InfoGeneral/Atencion/LOCALIDADES.asp
26,BuenosAires,Avellaneda,4,Av. Mitre N° 102,esq. Estevez - Planta baja,,,https://www.arba.gov.ar/Informacion/InfoGeneral/Atencion/LOCALIDADES.asp
27,BuenosAires,Ayacucho,5,9 de Julio N° 775,,,,https://www.arba.gov.ar/Informacion/InfoGeneral/Atencion/LOCALIDADES.asp
28,BuenosAires,Azul,6,San Martín 374,,,,https://www.arba.gov.ar/Informacion/InfoGeneral/Atencion/LOCALIDADES.asp
29,BuenosAires,Bahia Blanca,7,Mitre N° 282,primer Piso,,,https://www.arba.gov.ar/Informacion/InfoGeneral/Atencion/LOCALIDADES.asp
30,BuenosAires,Balcarce,8,Avda. Chaves N° 449,,,,https://www.arba.gov.ar/Informacion/InfoGeneral/Atencion/LOCALIDADES.asp
31,BuenosAires,Baradero,9,Anchorena Nº 1280,,,,https://www.arba.gov.ar/Informacion/InfoGeneral/Atencion/LOCALIDADES.asp
32,BuenosAires,Benito Juarez,53,Av. San Martín N° 39,,,,https://www.arba.gov.ar/Informacion/InfoGeneral/Atencion/LOCALIDADES.asp
33,BuenosAires,Berisso,114,Calle 8 (D. Leveratto) N° 4375,,,,https://www.arba.gov.ar/Informacion/InfoGeneral/Atencion/LOCALIDADES.asp
34,BuenosAires,Bolívar,11,Av. Lavalle Nº 172,,,,https://www.arba.gov.ar/Informacion/InfoGeneral/Atencion/LOCALIDADES.asp
35,BuenosAires,Bonifacio,260,España y 28 de Febrero,,,,https://www.arba.gov.ar/Informacion/InfoGeneral/Atencion/LOCALIDADES.asp
36,BuenosAires,Bragado,12,Rivadavia Nº 1259,,,,https://www.arba.gov.ar/Informacion/InfoGeneral/Atencion/LOCALIDADES.asp
37,BuenosAires,Casbas,202,Justo Condesse N° 244,,,,https://www.arba.gov.ar/Informacion/InfoGeneral/Atencion/LOCALIDADES.asp
38,BuenosAires,Campana,14,Jean Jaures N° 744,,,,https://www.arba.gov.ar/Informacion/InfoGeneral/Atencion/LOCALIDADES.asp
39,BuenosAires,Capitan Sarmiento,121,V. López y Planes N° 740,,,,https://www.arba.gov.ar/Informacion/InfoGeneral/Atencion/LOCALIDADES.asp
40,BuenosAires,Ciudad Autónoma de Bs. As.,0,Av. Corrientes N° 503,esq. San Martín,,,https://www.arba.gov.ar/Informacion/InfoGeneral/Atencion/LOCALIDADES.asp
