Provincia,Nro de Ley,Año,Web-Link,Web-Mapa,Web-Tramites,Org-Niveles,Dependencias,Org-Arriba,Ministerio De,Web-Impuesto,Jefe,Profesion-Jefe
CABA,Ley 3999,2011,https://www.buenosaires.gob.ar/desarrollourbano/institucional-subsecretaria-de-registros-interpretaciones-y-catastro/dg-registro-de-obra-y-catastro,si,si,,,3,desarrollo urbano y transporte,,Agrim. Alejandro Montes,Agrimensor
BuenosAires,Ley 10707,1994,https://www.arba.gov.ar/Apartados/Catastro/ConsultasCatastro.asp?apartado=CATASTRO,,,,,,ARBA,,Dra. María Larroude,Doctora
Catamarca,Ley 3585,1980,http://www.catastro.catamarca.gov.ar/,no,si,3,24,4, FINANZAS E INGRESOS PÚBLICOS,Link a pagina rentas,Ing. Daniel Robledo,Ingeniero
Chaco,Ley 4851,2000,http://www.catastrochaco.gov.ar/,si,no,1,8,3,"Gobierno, justicia y relacion con la comunidad",NO,Dr. Eduardo Veiga,Doctora
Chubut,Ley 5707,2008,http://www.chubut.gov.ar/portal/wp-organismos/catastro/,si,-,,,-,Economia,separado,Agrim. Daniel Darío Cardelli,Agrimensor
Cordoba,Ley 10454,2017,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-de-ingresos-publicos/dir-gral-de-catastro/,si,si,,,1,Finanzas,En Portada,Ing. Agrim. Gustavo Marcelo García,Ing. Agrimensor
Corrientes,Ley 1566,2010,http://www.catastro.corrientes.gov.ar/,,,1,10,2,hacienda y finanzas,,Agrim. Nac. Armando Pérez,Agrimensor
EntreRíos,Decreto 3320,2005,http://www.entrerios.gov.ar/catastro/v2/,,,,,,Administradora tributaria de la provincia de Entre Rios,,Cr. Carlos Duhalde,Contador
Formosa,Ley 1315,2000,https://www.formosa.gob.ar/catastro,,,,,,"Economía, Hacienda y Finanzas.",,Agrim. Carina Edith Chagra,Agrimensor
Jujuy,,,http://inmuebles.jujuy.gob.ar/,,,6,30,,Infraestructura tierra y vivienda,,Dr. Guido Matias Luna,Doctor
LaPampa,Ley 935,1979,https://catastro.lapampa.gob.ar/,,,3,9,,Subsecretaría de Ingresos Públicos del Ministerio de Hacienda y Finanzas,,Agrim. Héctor Erburu,Ing. Agrimensor
LaRioja,Ley 3778,1978,http://www.catastrolr.com.ar/home.php,,,,,,Ministerio de Hacienda y Administraciones Públicas,,Ing. Agrim. Marcelo Heredia,Ing. Agrimensor
Mendoza,Ley 4131,1977,https://www.atm.mendoza.gov.ar/portalatm/zoneTop/catastro/catastro.jsp,,,2,11,2,Administrador general,,Dra. Laura Luzuriaga,Doctor
Misiones,Ley II-24,2011,http://www.catastro.misiones.gov.ar/,no,si,2,5,4,Ecologia y Recursos Renovables,Link a pagina rentas,Lic. Nilda Rolon de Regalí,Licenciado
Neuquen,Ley 2217,1997,http://www.dpcneuquen.gov.ar/HomePage.asp,,,2,5,3,Subsecretaria de Ingresos Públicos,,Agrim. Hugo Gatica,Agrimensor
RíoNegro,Ley 3483,2000,https://catastro.rionegro.gov.ar/,si,no,4,24,,Economia,si,Ing. Agrim. Rodolfo Origlia,Ing. Agrimensor
Salta,Ley 2308,1948,www.inmuebles-salta.gov.ar,,,3,12,,finanzas y obras publicas,,Dr. Marín Isasmendi,Doctor
SanJuan,Ley 5445,1985,http://www.catastro.sanjuan.gov.ar,R,,,,,Hacienda y finanzas,,Ing. Agrim. Juan Pablo Quattropani,Ing. Agrimensor
SanLuis,Ley V-0597,2007,http://www.sistemacatastro.sanluis.gov.ar/pls/apex/f?p=SRVPOR:1::::::,,,,,,Hacienda publica,,Dra. Nayme Raba,Doctor
SantaCruz,Ley 3088,2009,http://www.sitsantacruz.gov.ar/,,,,,,"Economía, Finanzas e Infraestructura",,Ing. Agrim. Juan Subire,Ing. Agrimensor
SantaFe,Ley 10921,1992,https://www.santafe.gob.ar/index.php/content/view/full/104569,,,2,2,2,economia,,Ing. Norberto Frickx,Ingeniero
SantiagoDelEstero,Ley 6339,1998,http://www.catastro-se.gov.ar/,,,,,,economia,,Ing. Gustavo Ariel Zuain,Ingeniero
TierraDelFuego,Ley 146,1980,http://www.aref.gob.ar/gerencia-de-catastro-provincial/,,,,,,economia,,Ing. Agrim. Eduardo Villa,Ing. Agrimensor
Tucuman,Decreto Ley 99/158,1944,http://www.catastrotucuman.gov.ar/,,,,,,Economía,,Agrim. Alejandro Navarro,Agrimensor
